,count,mean,std,min,25%,50%,75%,max
295,4.0,2.925,1.05,1.8,2.25,2.8499999999999996,3.525,4.2
296,4.0,3.35,4.4410959608336915,0.9,0.975,1.25,3.625,10.0
297,4.0,4.925,3.4315934102590493,0.7,3.775,4.949999999999999,6.1,9.1
298,4.0,2.6999999999999997,1.5121728296285006,0.7,1.9749999999999999,3.0,3.725,4.1
299,4.0,1.875,1.20381338531629,0.2,1.4,2.25,2.725,2.8
300,4.0,3.125,4.625563028792639,0.0,0.75,1.25,3.625,10.0
301,4.0,4.05,3.64828726939094,0.4,2.425,3.35,4.975,9.1
302,4.0,3.675,3.680919269240588,0.9,1.9499999999999997,2.3499999999999996,4.074999999999999,9.1
303,4.0,4.824999999999999,3.5017852589786256,0.9,2.6999999999999997,4.699999999999999,6.824999999999999,9.0
304,4.0,4.175,2.4240118261537695,1.5,2.925,3.95,5.2,7.3
305,4.0,4.324999999999999,3.6536511418944566,0.2,2.975,4.0,5.35,9.1
306,4.0,2.975,4.683570575248475,0.6,0.6,0.6499999999999999,3.0250000000000004,10.0
307,4.0,3.975,3.09017259496402,1.1,2.075,3.3,5.2,8.2
308,4.0,3.325,1.6660832312142553,0.9,3.0749999999999997,3.8499999999999996,4.1,4.7
309,4.0,3.425,2.595348403072954,1.8,2.1,2.3,3.625,7.3
310,4.0,5.2,3.2197308376115337,3.1,3.625,3.8499999999999996,5.425,10.0
311,4.0,4.2,3.1272991542223783,0.9,1.875,4.300000000000001,6.625,7.3
312,4.0,1.2750000000000001,0.8883505314157619,0.2,0.7250000000000001,1.4,1.95,2.1
313,4.0,3.15,4.60832579866774,0.0,0.8999999999999999,1.2999999999999998,3.55,10.0
314,4.0,5.875,2.5157835094989127,3.6,3.75,5.85,7.975,8.2
315,4.0,2.65,3.7009007912488903,0.7,0.775,0.8500000000000001,2.7249999999999996,8.2
316,4.0,3.775,2.9646528745650245,2.0,2.1500000000000004,2.45,4.075,8.2
317,4.0,2.825,2.6562818625539975,0.0,1.6500000000000001,2.45,3.625,6.4
318,4.0,5.325,2.045116133621756,2.4,4.725,5.95,6.550000000000001,7.0
319,4.0,4.325,2.087063327580966,1.5,3.5250000000000004,4.7,5.5,6.4
320,4.0,1.9500000000000002,1.047218538160334,0.9,1.2,1.85,2.6,3.2
321,4.0,3.75,1.885912687975418,1.1,3.2,4.2,4.75,5.5
322,4.0,2.85,2.4020824298928627,1.2,1.5,1.9000000000000001,3.25,6.4
323,4.0,5.975,2.9352739792621287,3.1,4.375,5.4,7.0,10.0
324,4.0,3.1,1.8708286933869707,0.9,1.875,3.35,4.575,4.8
325,4.0,3.575,1.6111590031195968,1.6,2.875,3.5999999999999996,4.3,5.5
326,4.0,2.9,3.554340070017686,0.6,1.125,1.4,3.175,8.2
327,4.0,2.5,1.47648230602334,0.9,1.425,2.6,3.675,3.9
328,4.0,3.575,1.3475286020464774,2.4,2.85,3.2,3.925,5.5
329,4.0,5.85,1.8947295321496416,3.6,5.025,5.8,6.625,8.2
