nome,estado,partido,n_prod_leg,n_fisc,n_mobi,n_alin_partd,nota
lucas redecker,Rio Grande do Sul,PSDB,4.5,2.2,4.8,0.9,8.07
lucas vergilio,Goiás,SOLIDARIEDADE,3.9,1.6,3.3,5.5,6.66
luciano bivar,Pernambuco,UNIÃO,1.5,1.3,0.6,8.2,5.84
luciano ducci,Paraná,PSB,3.6,1.6,3.9,0.9,3.82
lucio mosquini,Rondônia,MDB,3.4,2.4,3.0,5.5,4.96
luis miranda,Distrito Federal,REPUBLICANOS,8.2,3.6,6.1,5.5,7.24
luis tibe,Minas Gerais,AVANTE,2.3,0.0,2.4,9.1,6.09
luisa canziani,Paraná,PSD,3.5,2.9,3.9,6.4,6.99
luiz antonio correa,Rio de Janeiro,PP,2.0,0.2,1.8,8.2,6.26
luiz carlos,Amapá,PSDB,1.5,1.3,1.8,8.2,6.55
luiz carlos motta,São Paulo,PL,3.0,0.9,3.3,7.3,6.68
luiz flavio gomes,São Paulo,PSB,2.6,0.9,1.5,6.4,
luiz lima,Rio de Janeiro,PL,6.5,1.6,3.9,8.2,7.69
luiz nishimori,Paraná,PSD,2.5,1.6,2.1,8.2,6.59
luiz philippe de orleans e braganca,São Paulo,PL,6.7,1.3,4.8,1.8,7.78
luiza erundina,São Paulo,PSOL,4.2,3.6,5.2,7.3,2.97
luizao goulart,Paraná,SOLIDARIEDADE,5.6,0.4,3.6,7.3,6.5
luizianne lins,Ceará,PT,3.4,3.6,4.5,9.1,3.15
magda mofatto,Goiás,PL,2.8,2.4,2.1,8.2,5.32
major fabiana,Rio de Janeiro,PL,3.2,1.1,3.3,9.1,7.2
manuel marcos,Acre,REPUBLICANOS,1.5,0.9,1.2,10.0,
mara rocha,Acre,MDB,4.1,1.5,3.6,0.9,6.24
marcao gomes,Rio de Janeiro,PL,0.7,0.0,0.6,10.0,
marcel van hattem,Rio Grande do Sul,NOVO,3.4,2.4,5.2,8.2,7.66
marcelo alvaro antonio,Minas Gerais,PL,1.0,0.4,0.9,9.1,7.2
marcelo aro,Minas Gerais,PP,2.5,1.3,2.7,8.2,5.36
marcelo brum,Rio Grande do Sul,REPUBLICANOS,4.4,0.5,2.1,8.2,
marcelo calero,Rio de Janeiro,PSD,3.4,2.9,4.2,4.5,7.93
marcelo freixo,Rio de Janeiro,PSB,5.2,4.4,5.8,8.2,3.37
marcelo moraes,Rio Grande do Sul,PL,2.5,1.3,3.0,6.4,
